From,To,id
"(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",0
"(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);","((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)));",1
"((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)));","(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))));",2
"(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))));","((((P,(R,Q)),O),S),T);",3
"((((P,(R,Q)),O),S),T);","(((P,(R,Q)),O),S);",4
"(((P,(R,Q)),O),S);","((P,(R,Q)),O);",5
"((P,(R,Q)),O);","(P,(R,Q));",6
"(P,(R,Q));",P;,7
"(P,(R,Q));","(R,Q);",8
"(R,Q);",R;,9
"(R,Q);",Q;,10
"((P,(R,Q)),O);",O;,11
"(((P,(R,Q)),O),S);",S;,12
"((((P,(R,Q)),O),S),T);",T;,13
"(((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))));","(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)));",14
"(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)));","((((F,G),(I,C)),((H,D),E)),J);",15
"((((F,G),(I,C)),((H,D),E)),J);","(((F,G),(I,C)),((H,D),E));",16
"(((F,G),(I,C)),((H,D),E));","((F,G),(I,C));",17
"((F,G),(I,C));","(F,G);",18
"(F,G);",F;,19
"(F,G);",G;,20
"((F,G),(I,C));","(I,C);",21
"(I,C);",I;,22
"(I,C);",C;,23
"(((F,G),(I,C)),((H,D),E));","((H,D),E);",24
"((H,D),E);","(H,D);",25
"(H,D);",H;,26
"(H,D);",D;,27
"((H,D),E);",E;,28
"((((F,G),(I,C)),((H,D),E)),J);",J;,29
"(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)));","((N,M),(L,K));",30
"((N,M),(L,K));","(N,M);",31
"(N,M);",N;,32
"(N,M);",M;,33
"((N,M),(L,K));","(L,K);",34
"(L,K);",L;,35
"(L,K);",K;,36
"((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W)));","((U,B),(V,W));",37
"((U,B),(V,W));","(U,B);",38
"(U,B);",U;,39
"(U,B);",B;,40
"((U,B),(V,W));","(V,W);",41
"(V,W);",V;,42
"(V,W);",W;,43
"(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",A;,44
