From_Where_moved,What_moved,Sibling,total_count
"(E,((C,G),(F,I)));",E;,"((F,G),(I,C));",1
"(E,((C,I),(F,G)));","((F,G),(I,C));",E;,15
"(E,((C,I),(F,G)));",E;,"((F,G),(I,C));",13
"(E,((F,G),(C,I)));","((F,G),(I,C));",E;,19
"(E,((F,G),(C,I)));",E;,"((F,G),(I,C));",19
"(E,(C,(I,(F,G))));",E;,"((F,G),(I,C));",8
"(E,(F,(G,(C,I))));",E;,"((F,G),(I,C));",9
"(E,(G,(F,(C,I))));",E;,"((F,G),(I,C));",3
"(E,(I,(C,(F,G))));",E;,"((F,G),(I,C));",8
"(E,(I,(F,(C,G))));",E;,"((F,G),(I,C));",1
