idx,Replicate,Path,From_Where_moved,Sibling,What_moved,NNI
0,"(A,((W,(V,(B,U))),((T,(S,(P,(O,(Q,R))))),(((M,N),(K,L)),(J,((E,(D,H)),(I,(C,(F,G)))))))));",0,"(V,(B,U));",V;,"(U,B);",1
1,"(A,((W,(V,(B,U))),(((O,(P,(Q,R))),(S,T)),(((L,M),(K,N)),(J,(((F,G),(C,I)),(E,(D,H))))))));",0,"(V,(B,U));","(B,U);",V;,1
2,"(((M,N),(K,L)),(A,((W,(V,(B,U))),(((E,(D,H)),(J,((C,I),(F,G)))),(T,((O,(Q,R)),(P,S)))))));",0,"(V,(B,U));",V;,"(U,B);",1
3,"(A,((W,(V,(B,U))),((T,(S,(O,(Q,(P,R))))),((J,(((F,G),(C,I)),(D,(E,H)))),((K,L),(M,N))))));",0,"(V,(B,U));",V;,"(U,B);",1
4,"(A,((W,(V,(B,U))),((((M,N),(K,L)),(J,((E,(D,H)),(F,(G,(C,I)))))),(T,(S,(O,(P,(Q,R))))))));",0,"(V,(B,U));",V;,"(U,B);",1
5,"(A,((V,(B,U)),(W,(((J,((E,(D,H)),(I,(C,(F,G))))),(M,(N,(K,L)))),(T,(S,(O,(P,(Q,R)))))))));",0,"(V,(B,U));","(B,U);",V;,1
6,"(A,(((K,(L,(M,N))),(J,(((F,G),(C,I)),(E,(D,H))))),((W,(V,(B,U))),(T,(S,(P,(O,(Q,R))))))));",0,"(V,(B,U));",V;,"(U,B);",1
7,"(A,((J,((C,I),((F,G),(E,(D,H))))),((W,(V,(B,U))),(((K,L),(M,N)),(T,(S,((Q,R),(O,P))))))));",0,"(V,(B,U));",V;,"(U,B);",1
8,"((((K,L),(M,N)),(J,((C,(F,G)),(E,(I,(D,H)))))),(A,((W,(V,(B,U))),(T,(S,(O,(P,(Q,R))))))));",0,"(V,(B,U));",V;,"(U,B);",1
9,"(A,((W,(V,(B,U))),((((M,N),(K,L)),(J,(((C,I),(F,G)),(E,(D,H))))),(T,(S,(O,(P,(Q,R))))))));",0,"(V,(B,U));","(B,U);",V;,1
10,"(A,((W,(V,(B,U))),((J,((E,(D,H)),((C,I),(F,G)))),(((K,L),(M,N)),(T,(S,(O,(R,(P,Q)))))))));",0,"(V,(B,U));",V;,"(U,B);",1
11,"(A,((W,(V,(B,U))),((T,(S,((Q,R),(O,P)))),((J,((I,(C,(F,G))),(D,(E,H)))),((K,L),(M,N))))));",0,"(V,(B,U));",V;,"(U,B);",1
12,"(A,((W,(V,(B,U))),((T,((O,(Q,R)),(P,S))),((J,((D,(E,H)),((F,G),(C,I)))),((M,N),(K,L))))));",0,"(V,(B,U));",V;,"(U,B);",1
13,"((T,((K,L),(M,N))),(A,((W,(V,(B,U))),((S,(P,(O,(Q,R)))),(((H,(D,E)),(C,(F,G))),(I,J))))));",0,"(V,(B,U));",V;,"(U,B);",1
14,"((W,(V,(B,U))),(A,((((K,L),(M,N)),(J,(E,((D,H),((C,I),(F,G)))))),(T,(S,(O,(R,(P,Q))))))));",0,"(V,(B,U));","(B,U);",V;,1
15,"(A,((W,(V,(B,U))),(T,((S,(O,(P,(Q,R)))),((M,(N,(K,L))),(J,((E,(D,H)),((C,I),(F,G)))))))));",0,"(V,(B,U));",V;,"(U,B);",1
16,"(A,((W,(V,(B,U))),((((K,L),(M,N)),(J,((C,I),((F,G),(D,(E,H)))))),(T,(S,(O,(P,(Q,R))))))));",0,"(V,(B,U));","(B,U);",V;,1
17,"(A,((W,(V,(B,U))),((((M,N),(K,L)),(J,(F,G))),(((C,I),(E,(D,H))),(T,(S,(O,(P,(Q,R)))))))));",0,"(V,(B,U));","(B,U);",V;,1
18,"(A,((W,(V,(B,U))),((((K,L),(M,N)),((F,(G,(C,I))),(J,(E,(D,H))))),(T,(S,(O,(P,(Q,R))))))));",0,"(V,(B,U));","(B,U);",V;,1
19,"(A,(W,((V,(B,U)),(((J,(((C,I),(F,G)),(E,(D,H)))),((K,L),(M,N))),((P,(Q,R)),(T,(O,S)))))));",0,"(V,(B,U));",V;,"(U,B);",1
