idx,Replicate,Path,From_Where_moved,Sibling,What_moved,NNI
0,"(A,((T,(((K,L),(M,N)),(J,((D,E),((I,(C,H)),(F,G)))))),(((B,U),(V,W)),(S,(O,(P,(Q,R)))))));",0,"(C,H);",C;,H;,1
1,"(A,((((K,L),(M,N)),(J,(((I,(C,H)),(F,G)),(D,E)))),(((B,U),(V,W)),(T,(S,(O,(P,(Q,R))))))));",0,"(C,H);",C;,H;,1
2,"(A,(((B,U),(V,W)),((L,(K,(M,N))),((J,((D,E),(F,(G,(I,(C,H)))))),(T,(S,(O,(P,(Q,R)))))))));",0,"(C,H);",C;,H;,1
3,"(A,(((((K,L),(M,N)),(J,(E,(D,((F,G),(I,(C,H))))))),(T,(S,(O,(P,(Q,R)))))),((V,W),(B,U))));",0,"(C,H);",C;,H;,1
4,"(((V,W),((S,(T,(O,(P,(Q,R))))),(((K,L),(M,N)),(J,((I,(C,H)),((F,G),(D,E))))))),(A,(B,U)));",0,"(C,H);",C;,H;,1
5,"(A,(((V,W),(B,U)),((J,((F,(G,(I,(C,H)))),(D,E))),(((M,N),(K,L)),(T,(S,(O,(P,(Q,R)))))))));",0,"(C,H);",C;,H;,1
6,"(A,(((B,U),(V,W)),((S,((Q,R),(O,P))),(T,(J,(((D,E),((I,(C,H)),(F,G))),(N,(M,(K,L)))))))));",0,"(C,H);",C;,H;,1
7,"(A,((J,((M,N),(K,L))),(((B,U),(V,W)),(((F,G),((I,(C,H)),(D,E))),(T,(O,(S,(P,(Q,R)))))))));",0,"(C,H);",C;,H;,1
8,"(A,((T,(S,(O,(P,(Q,R))))),(((D,E),((K,L),(M,N))),((J,((I,(C,H)),(F,G))),((B,U),(V,W))))));",0,"(C,H);",C;,H;,1
9,"(A,((((M,N),(K,L)),(J,(I,(((F,G),(C,H)),(D,E))))),((T,(S,(O,(P,(Q,R))))),((V,W),(B,U)))));",0,"(C,H);",C;,H;,1
10,"((((K,L),(M,N)),((J,((G,(I,(C,H))),(F,(D,E)))),(T,(S,(O,(P,(Q,R))))))),(A,((V,W),(B,U))));",0,"(C,H);",C;,H;,1
11,"(A,(((V,W),(B,U)),((((K,L),(M,N)),(J,(F,((D,E),(I,(G,(C,H))))))),(O,(T,(S,(P,(Q,R))))))));",0,"(C,H);",C;,H;,1
12,"(A,(((B,U),(V,W)),((T,(S,(P,(O,(Q,R))))),(J,(((D,E),((I,(C,H)),(F,G))),((M,N),(K,L)))))));",0,"(C,H);",C;,H;,1
13,"(A,(((V,W),(B,U)),((T,(S,(O,(P,(Q,R))))),(((M,N),(K,L)),((D,E),(J,((F,G),(I,(C,H)))))))));",0,"(C,H);",C;,H;,1
14,"(A,(((B,U),(V,W)),((J,(((F,G),((I,(C,H)),(D,E))),((K,L),(M,N)))),(T,(S,(O,(P,(Q,R))))))));",0,"(C,H);",C;,H;,1
15,"((T,(S,(O,(Q,(P,R))))),(A,(((V,W),(B,U)),((M,N),((K,L),(J,((D,E),((I,(C,H)),(F,G)))))))));",0,"(C,H);",C;,H;,1
16,"(((J,(((D,E),(F,(G,(I,(C,H))))),(K,(L,(M,N))))),((V,W),(B,U))),(A,(T,(S,(O,(P,(Q,R)))))));",0,"(C,H);",C;,H;,1
17,"(((V,W),(B,U)),(A,((((M,N),(K,L)),(J,((D,E),((F,G),(I,(C,H)))))),(T,(S,(O,(P,(Q,R))))))));",0,"(C,H);",C;,H;,1
18,"(A,((V,(W,(B,U))),((((K,L),(M,N)),(J,(D,E))),((S,(O,(P,(Q,R)))),(T,(I,(F,(G,(C,H)))))))));",0,"(C,H);",C;,H;,1
19,"(((B,U),(V,W)),(A,((((M,N),(K,L)),(J,((F,(C,H)),((G,I),(D,E))))),(T,(S,(O,(P,(Q,R))))))));",0,"(C,H);",C;,H;,1
20,"((((V,W),(B,U)),(((G,(F,(I,(C,H)))),(D,E)),(J,(L,(K,(M,N)))))),(A,((O,(R,(P,Q))),(S,T))));",0,"(C,H);",C;,H;,1
21,"(((K,L),(M,N)),(A,((U,(B,(V,W))),((((F,G),(I,(C,H))),(J,(D,E))),((O,(P,(Q,R))),(S,T))))));",0,"(C,H);",C;,H;,1
22,"(A,((B,U),((V,W),((T,(S,(O,(P,(Q,R))))),(((K,L),(M,N)),(J,(E,(D,((I,(C,H)),(F,G))))))))));",0,"(C,H);",C;,H;,1
23,"(A,((U,(B,(V,W))),((T,((P,(Q,R)),(O,S))),(((K,L),(M,N)),((D,E),(J,((F,G),(I,(C,H)))))))));",0,"(C,H);",C;,H;,1
24,"(A,(((T,(S,(O,(P,(Q,R))))),(((M,N),(K,L)),((F,(G,(I,(C,H)))),(J,(D,E))))),((B,U),(V,W))));",0,"(C,H);",C;,H;,1
25,"(A,(((B,U),(V,W)),(((J,((C,H),((I,(F,G)),(D,E)))),((M,N),(K,L))),(T,(S,(O,(R,(P,Q))))))));",0,"(C,H);",H;,C;,1
26,"(A,((Q,(P,R)),(((B,U),(V,W)),((T,(O,S)),(((M,N),((D,E),((I,(C,H)),(F,G)))),(J,(K,L)))))));",0,"(C,H);",C;,H;,1
27,"(((((M,N),(K,L)),(J,((D,E),((F,G),(I,(C,H)))))),(T,(S,(O,(P,(Q,R)))))),(A,((V,W),(B,U))));",0,"(C,H);",C;,H;,1
28,"(A,(((V,W),(B,U)),((T,(S,(O,(P,(Q,R))))),(J,(((D,E),((F,G),(I,(C,H)))),((K,L),(M,N)))))));",0,"(C,H);",C;,H;,1
29,"(A,(((P,(Q,R)),(O,S)),((T,((K,L),(((D,E),(I,((C,H),(F,G)))),(J,(M,N))))),((B,U),(V,W)))));",0,"(C,H);",C;,H;,1
30,"(A,(((B,U),(V,W)),((((I,(C,H)),(F,G)),(D,E)),((T,(S,((Q,R),(O,P)))),(J,((K,L),(M,N)))))));",0,"(C,H);",C;,H;,1
31,"(A,(((M,N),(J,(K,L))),(((V,W),(B,U)),(T,(((F,G),((I,(C,H)),(D,E))),((Q,(P,R)),(O,S)))))));",0,"(C,H);",C;,H;,1
32,"(((J,(((M,N),(K,L)),(F,((D,E),(G,(I,(C,H))))))),(T,(S,(O,(P,(Q,R)))))),(A,((V,W),(B,U))));",0,"(C,H);",C;,H;,1
33,"(((((K,L),(M,N)),((D,E),(J,((F,G),(I,(C,H)))))),(T,(S,(O,(P,(Q,R)))))),(A,((V,W),(B,U))));",0,"(C,H);",C;,H;,1
34,"(A,(((B,U),(V,W)),((S,(T,(O,(P,(Q,R))))),(((K,L),(M,N)),(((I,(C,H)),(F,G)),(J,(D,E)))))));",0,"(C,H);",C;,H;,1
