idx,Replicate,Path,From_Where_moved,Sibling,What_moved,NNI
0,"(A,(((V,W),(B,U)),(((M,N),(K,L)),((J,((F,G),((C,(H,I)),(D,E)))),(T,(S,(O,(P,(Q,R)))))))));",0,"(H,I);",I;,H;,1
1,"(A,(((V,W),(B,U)),(((K,(L,(M,N))),(J,(E,(D,((F,G),(C,(H,I))))))),(T,(S,((Q,R),(O,P)))))));",0,"(H,I);",I;,H;,1
2,"(A,(((B,U),(V,W)),((((K,L),(M,N)),(J,((D,E),((C,G),(F,(H,I)))))),(T,(S,(O,(R,(P,Q))))))));",0,"(H,I);",I;,H;,1
3,"(A,(((T,(S,(O,(P,(Q,R))))),(((K,L),(M,N)),(J,(D,(E,((H,I),(C,(F,G)))))))),((V,W),(B,U))));",0,"(H,I);",I;,H;,1
4,"(A,(((B,U),(V,W)),((T,(O,(S,(P,(Q,R))))),(M,((N,(K,L)),(J,((D,E),((F,G),(C,(H,I))))))))));",0,"(H,I);",I;,H;,1
5,"(A,(((B,U),(V,W)),((T,(S,(O,(P,(Q,R))))),((J,((D,E),((F,G),(C,(H,I))))),((K,L),(M,N))))));",0,"(H,I);",I;,H;,1
6,"(A,(((B,U),(V,W)),((O,(P,(Q,R))),(((J,(((F,G),(C,(H,I))),(D,E))),(K,(L,(M,N)))),(S,T)))));",0,"(H,I);",I;,H;,1
7,"(A,((J,((D,E),(C,((H,I),(F,G))))),(((V,W),(B,U)),((N,(M,(K,L))),(T,(S,(Q,(R,(O,P)))))))));",0,"(H,I);",I;,H;,1
8,"(A,(((B,U),(V,W)),(((J,((D,E),((C,(H,I)),(F,G)))),(M,(N,(K,L)))),(T,(S,(O,(P,(Q,R))))))));",0,"(H,I);",I;,H;,1
9,"(A,(((B,U),(V,W)),((((K,L),(M,N)),((D,E),(J,(G,((H,I),(C,F)))))),(T,((Q,R),(S,(O,P)))))));",0,"(H,I);",I;,H;,1
10,"(((V,W),(B,U)),(A,((((M,N),(K,L)),(J,(((F,G),(C,(H,I))),(D,E)))),(T,(O,(S,(P,(Q,R))))))));",0,"(H,I);",I;,H;,1
