Labeled_species,Total_gene_trees,Lineage1,Count1,Lineage2,Count2,What_moved,To_where,Minor_Moved,Minor_moved_count,Significant_Pairs,minor_sibling_Total_gene_trees,minor_sibling,minor_sibling_count,minor_sibling_What_moved,minor_sibling_To_where,Z_score,Z_score_sibling,inUnique,CouldbeBidirectional
"(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C donor)),((H receiver,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",35,H;,35,C;,0,H;,"(C,H);",C;,0,H; AND C;,11,I;,0,H;,"(H,I);",-5.916079783099616,,True,False
"(((((((P,(R,Q)),O),S),T),(((((F,G),(I donor,C)),((H receiver,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",11,H;,11,I;,0,H;,"(H,I);",I;,0,H; AND I;,35,C;,0,H;,"(C,H);",-3.3166247903554,,True,False
"(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B) donor,(V receiver,W))),A);",44,"(U,B);",22,V;,22,"(U,B);","(V,(B,U));",V;,22,"(U,B); AND V;",27,W;,13,"(U,B);","(W,(B,U));",0.0,-1.52127765851133,True,False
"(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)) donor,((H,D) receiver,E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",132,"((F,G),(I,C));",43,"(H,D);",89,"(H,D);","(((C,I),(F,G)),(D,H));","((F,G),(I,C));",43,"((F,G),(I,C)); AND (H,D);",,,,,,-4.003786086981051,,True,False
