Where_at,What_moved,NNI_sp,total_count
O;,Q;,2,33
"(K,L);",N;,1,66
N;,"(K,L);",1,66
"(F,G);",I;,1,126
I;,"(F,G);",1,126
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",T;,1,112
T;,"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",1,112
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));","(S,(O,(P,(Q,R))));",1,94
"(S,(O,(P,(Q,R))));","((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",1,94
"(B,U);",A;,2,7
A;,"(B,U);",2,7
H;,C;,4,35
C;,H;,4,35
"(S,(O,(P,(Q,R))));","((V,W),(B,U));",2,16
"((V,W),(B,U));","(S,(O,(P,(Q,R))));",2,16
T;,O;,2,19
O;,T;,2,19
"(C,I);",J;,2,16
J;,"(C,I);",2,16
"(N,(M,(K,L)));","(F,G);",3,3
"(F,G);","(N,(M,(K,L)));",3,3
I;,G;,2,32
G;,I;,2,32
F;,C;,2,33
C;,F;,2,33
"((V,W),(B,U));","(N,(M,(K,L)));",2,22
"(N,(M,(K,L)));","((V,W),(B,U));",2,22
M;,L;,2,4
L;,M;,2,4
N;,K;,2,4
K;,N;,2,4
"(F,(I,(C,G)));",D;,2,16
D;,"(F,(I,(C,G)));",2,16
"(M,N);",K;,1,71
K;,"(M,N);",1,71
"((V,W),(B,U));",S;,3,2
S;,"((V,W),(B,U));",3,2
"(N,(M,(K,L)));",T;,2,23
T;,"(N,(M,(K,L)));",2,23
"(S,(O,(P,(Q,R))));",A;,3,2
A;,"(S,(O,(P,(Q,R))));",3,2
"(B,U);",W;,1,27
W;,"(B,U);",1,27
"(Q,R);",S;,2,15
S;,"(Q,R);",2,15
"(T,(S,(O,(P,(Q,R)))));","(M,N);",2,7
"(M,N);","(T,(S,(O,(P,(Q,R)))));",2,7
"(T,(S,(O,(P,(Q,R)))));",A;,2,26
A;,"(T,(S,(O,(P,(Q,R)))));",2,26
J;,H;,3,1
H;,J;,3,1
"(N,(M,(K,L)));",A;,3,3
A;,"(N,(M,(K,L)));",3,3
"(V,W);",U;,1,21
U;,"(V,W);",1,21
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",A;,2,18
A;,"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",2,18
"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));","(B,U);",1,32
"(B,U);","(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",1,32
"(E,(D,H));",I;,2,19
I;,"(E,(D,H));",2,19
R;,O;,2,31
O;,R;,2,31
"(C,I);",E;,2,19
E;,"(C,I);",2,19
"(F,G);","(D,H);",2,21
"(D,H);","(F,G);",2,21
"(T,(S,(O,(P,(Q,R)))));","(((C,I),(D,H)),(E,(F,G)));",2,12
"(((C,I),(D,H)),(E,(F,G)));","(T,(S,(O,(P,(Q,R)))));",2,12
"(E,(D,H));",C;,2,17
C;,"(E,(D,H));",2,17
J;,E;,2,22
E;,J;,2,22
"(C,I);",D;,3,2
D;,"(C,I);",3,2
"(V,W);",A;,2,6
A;,"(V,W);",2,6
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",O;,3,2
O;,"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",3,2
"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));","(V,W);",1,20
"(V,W);","(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",1,20
"(J,(((C,I),(D,H)),(E,(F,G))));","(O,(P,(Q,R)));",3,4
"(O,(P,(Q,R)));","(J,(((C,I),(D,H)),(E,(F,G))));",3,4
"((V,W),(B,U));","(J,(((C,I),(D,H)),(E,(F,G))));",2,21
"(J,(((C,I),(D,H)),(E,(F,G))));","((V,W),(B,U));",2,21
T;,J;,3,1
J;,T;,3,1
"(S,(O,(P,(Q,R))));","(N,(M,(K,L)));",2,19
"(N,(M,(K,L)));","(S,(O,(P,(Q,R))));",2,19
I;,H;,4,11
H;,I;,4,11
"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",W;,2,3
W;,"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",2,3
"(F,G);",J;,2,12
J;,"(F,G);",2,12
"(J,(((C,I),(D,H)),(E,(F,G))));",K;,2,5
K;,"(J,(((C,I),(D,H)),(E,(F,G))));",2,5
J;,G;,3,4
G;,J;,3,4
"(N,(M,(K,L)));",S;,3,4
S;,"(N,(M,(K,L)));",3,4
"(E,(D,H));",G;,2,19
G;,"(E,(D,H));",2,19
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));","(O,(P,(Q,R)));",2,11
"(O,(P,(Q,R)));","((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",2,11
"(C,I);",H;,3,6
H;,"(C,I);",3,6
"(S,(O,(P,(Q,R))));","(M,N);",3,2
"(M,N);","(S,(O,(P,(Q,R))));",3,2
"(T,(S,(O,(P,(Q,R)))));","(B,U);",2,4
"(B,U);","(T,(S,(O,(P,(Q,R)))));",2,4
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));","(V,W);",2,6
"(V,W);","((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",2,6
"(M,N);",J;,2,8
J;,"(M,N);",2,8
"(((C,I),(D,H)),(E,(F,G)));","(K,L);",2,13
"(K,L);","(((C,I),(D,H)),(E,(F,G)));",2,13
"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",B;,2,1
B;,"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",2,1
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",S;,2,13
S;,"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",2,13
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));","(B,U);",2,6
"(B,U);","((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",2,6
"(T,(S,(O,(P,(Q,R)))));","(V,W);",2,4
"(V,W);","(T,(S,(O,(P,(Q,R)))));",2,4
"(T,(S,(O,(P,(Q,R)))));","(K,L);",2,7
"(K,L);","(T,(S,(O,(P,(Q,R)))));",2,7
G;,E;,3,8
E;,G;,3,8
"(F,(I,(C,G)));",H;,2,10
H;,"(F,(I,(C,G)));",2,10
"(P,(Q,R));",T;,2,19
T;,"(P,(Q,R));",2,19
"(T,(S,(O,(P,(Q,R)))));","(F,(I,(C,G)));",3,6
"(F,(I,(C,G)));","(T,(S,(O,(P,(Q,R)))));",3,6
"(J,(((C,I),(D,H)),(E,(F,G))));","(S,(O,(P,(Q,R))));",2,20
"(S,(O,(P,(Q,R))));","(J,(((C,I),(D,H)),(E,(F,G))));",2,20
I;,E;,3,5
E;,I;,3,5
H;,F;,4,2
F;,H;,4,2
"(B,U);","(M,N);",4,1
"(M,N);","(B,U);",4,1
J;,C;,3,5
C;,J;,3,5
"(J,(((C,I),(D,H)),(E,(F,G))));",T;,2,21
T;,"(J,(((C,I),(D,H)),(E,(F,G))));",2,21
"(N,(M,(K,L)));","(C,I);",3,4
"(C,I);","(N,(M,(K,L)));",3,4
"(D,H);",I;,3,1
I;,"(D,H);",3,1
M;,K;,2,6
K;,M;,2,6
"(Q,R);",T;,3,3
T;,"(Q,R);",3,3
F;,E;,3,3
E;,F;,3,3
"(S,(O,(P,(Q,R))));",J;,3,4
J;,"(S,(O,(P,(Q,R))));",3,4
"(N,(M,(K,L)));","(O,(P,(Q,R)));",3,2
"(O,(P,(Q,R)));","(N,(M,(K,L)));",3,2
"(N,(M,(K,L)));","(B,U);",3,2
"(B,U);","(N,(M,(K,L)));",3,2
